TopicID,Name,1,2,3,4,5
1,Immigration,Immigration,Wall,Border,Police,Illegal immigrant
2,Economy,jobs,taxes,cut,growth,economy
3,Healthcare,obamacare,aca,taxes,repeal,health
4,Kavanaugh confirmation,supreme court,nomination,kavanaugh,ford,allegation
5,junk,the,it,and,amp,junk
