Time_Index,Time_Label,TwitterID,zLkRatio
1,Jan 2018,team_harbaugh,-0.970490148214755
1,Jan 2018,electconnolly,0.5762333122491518
1,Jan 2018,stabenow,0.4491988677853874
1,Jan 2018,jimhagedornmn,-0.495394513587874
1,Jan 2018,jasonsmithmo,-1.0536637509887616
1,Jan 2018,leonardlancenj7,0.4480245135462665
1,Jan 2018,godutchformd,0.973217907579371
1,Jan 2018,debdingell,0.39412270480028583
1,Jan 2018,studlydevine,0.4602515435706851
1,Jan 2018,johnculberson,-0.5019593919154746
1,Jan 2018,peteryuco,0.8064743483973164
1,Jan 2018,dennyforpa,0.15366399042319392
1,Jan 2018,flynndbroadyjr,0.7012488150453882
1,Jan 2018,rickgreenma,0.1866981275204323
1,Jan 2018,barlow4congress,0.8164814819110888
1,Jan 2018,hawleymo,-0.38570126380845016
1,Jan 2018,susanbrooksin,0.9876332441742571
1,Jan 2018,debbielesko,-1.3836038510354798
1,Jan 2018,johnsonleads,-0.557370989066762
1,Jan 2018,drkimschrier,-0.8843497827205372
1,Jan 2018,bobhugin,1.0089293748031398
1,Jan 2018,joeprofitga_04,1.1150300943848306
1,Jan 2018,mac4northdakota,0.9289933329749368
1,Jan 2018,votedannerkline,-1.7348434445324337
1,Jan 2018,electlahood,0.4119622852566157
1,Jan 2018,johnsarbanes,0.5129848901674292
1,Jan 2018,tomharrison4or3,0.966012123444446
1,Jan 2018,redmaryland,0.8704101224050067
1,Jan 2018,lloydsmuckerpa,0.41185023521104996
1,Jan 2018,senatorbrakey,-0.6467475777015815
1,Jan 2018,chrisdepizzo,0.008665393363019353
1,Jan 2018,sarahsmith2018,-1.4340750830741695
1,Jan 2018,timburchett,-0.612280340645815
1,Jan 2018,timryan,-1.0780274176645837
1,Jan 2018,jimfrancisla01,1.1097388418911682
1,Jan 2018,juliefortx25,-1.6074647839782694
1,Jan 2018,dmmd4tncongress,-1.2773671053912006
1,Jan 2018,congjoewilson,1.1117498288860603
1,Jan 2018,votetimmons,0.48434423701570406
1,Jan 2018,anyatynio,0.9001979586818103
1,Jan 2018,vangie4congress,-1.2399427044815088
