TwitterID,tweetMean,tweetSd
kelly4southrnil,-0.33874924757344177,0.09322658536045351
seanflynnca,-0.3579448758035374,0.11479456894391091
maxrose4ny,-0.7414175290144706,0.4841192018663644
courtneytritch,-0.3515035477270697,0.11241953476106241
flores4congress,-0.406627856786217,0.15638779522756768
janzforcongress,-0.1938768401614441,0.1998846583155433
18thil,-0.3283321691279637,0.12006479887393004
thomasmassieky,,,
florida_cd5,-0.36086091582064794,0.15093442074860794
jerrymcnerney,-0.3057236575851602,0.11087520976717807
castro4congress,-0.3202665900347382,0.13349184441965048
rogerwallison,-0.3510168160758839,0.1633816122681559
susieleenv,-0.3562705898809227,0.10494123598318406
markreed1776,-0.4173465216664665,0.1716811696061628
sewell4congress,-0.3417904909844319,0.11486159339610803
anthonybrownmd4,-0.12012991579613613,0.2717012157853142
janasanchez,-0.34741086208490213,0.14978930739754326
pauldavisks,-0.3337413978525939,0.10812542199990918
marcveasey,-0.22282488468709252,0.19552639468168992
jaimeforusrep,-0.2828636476225507,0.08543301907619383
vote4cleaver,-0.37061389450269056,0.1793505367365942
flynndbroadyjr,-0.3254432665977428,0.10741885560669441
bradyfortexas,-0.3726199235518687,0.13613413610660202
haydenshamel,0.03180715910449243,0.5159288083616526
ilhanmn,-0.3423395453314125,0.11501880932679653
reschenthaler,-0.3362268786261813,0.14539561275648127
bobrackleff,-0.22495044627104038,0.1630732098101661
abraham_ralph,-0.318547719443681,0.10442943211887454
lorieb4congress,-0.34057166147364204,0.11614762175581948
joycebentleycd1,-0.3234505502347529,0.21587317380002216
danarohrabacher,-0.4653402368346166,0.20832268898746212
colvin4congress,-0.43527692989136235,0.21156896778667592
aronoff4usrep,-0.33619652112126597,0.11610775950752845
realjohnmccann,-0.35603826263651533,0.1493160626960235
abby4iowa,-0.32867762360873004,0.09695641668036045
gregsteube,-0.3135617574959188,0.14687972818226547
wittforprogress,-0.33698784592435743,0.12848071504192102
dinatitus,-0.3384486042057938,0.10857008818177934
loisfrankel,,,
repevans45,-0.3642953463869422,0.13470012291484615
cline4virginia,-0.3263761547984738,0.12682842758723803
gunny_harmon,,,
flacc4congress,-0.31798558778782016,0.1475897176719253
johnelleson,-0.08025157709039621,0.36058310519325343
vgescobar,-0.3197950342611615,0.1351965837592249
bradsherman,-0.3323864671290946,0.15314078355635324
watts4congress,-0.9367045125475841,0.42006033741377774
houlahanforpa,-0.3421515897369607,0.1352641140666991
drkyle4congress,-0.29612905666102984,0.14741224061713246
mccauley4pa,-0.37044789795542166,0.12098678014592475
lee4uscongress,-0.36955483571229325,0.12495679304910019
