Iteration,Word,IsRepub,RepScore,DemScore
0,help1,2.9649983242111648e-05,4.317808329582485e-06
0,hshtg_medicareforall1,5.666013645268078e-06,4.340061522088135e-06
0,years1,1.6009443724011563e-05,4.3351290602594345e-06
0,country earth0,4.287592154143239e-06,4.37539413869047e-06
0,mnton_nowthisnews1,5.008077207575812e-06,4.339579283671008e-06
0,world1,1.1533335061210725e-05,4.344245178282712e-06
0,dakota1,4.4439325089062445e-06,4.321534977668325e-06
0,wage1,9.086609023709026e-06,4.4162581903770225e-06
0,republican1,1.0820166725152008e-05,4.315471191080295e-06
0,thank1,5.5427128782183203e-05,4.367570826473136e-06
0,mnton_sensanders1,6.439855789939767e-06,4.326662497648566e-06
0,justice1,9.767244069712713e-06,4.3532702425837655e-06
0,workers1,1.1720612130513573e-05,4.410017565753248e-06
0,young1,1.1012714646066587e-05,4.310417536045668e-06
0,rico1,7.021608295307387e-06,4.3227929480443606e-06
0,going1,1.513881325598347e-05,4.438575671391935e-06
0,minimum wage1,6.766842149703826e-06,4.341092390986889e-06
0,puerto rico1,6.9882509775105745e-06,4.325083749996523e-06
0,mnton_andrewgillum1,5.702400614529522e-06,4.382556521482078e-06
0,puerto1,8.130901011691513e-06,4.3274813702720725e-06
0,thousands1,7.964855166233337e-06,4.321095915357578e-06
0,real1,1.1064078130654796e-05,4.340284724301189e-06
0,billionaire1,4.805322462699183e-06,4.429393425754435e-06
0,breaks1,6.297551209146464e-06,4.39119173340211e-06
0,watch1,1.1735908314664487e-05,4.327989655168491e-06
0,nation1,1.1503372554933136e-05,4.379036923220246e-06
0,mnton_ocasio20181,6.3794901322132506e-06,4.316025800771947e-06
0,know1,2.237146260031017e-05,4.323038000668754e-06
0,got1,1.2355740911064393e-05,4.314383057479528e-06
0,working people1,6.132272100046552e-06,4.322755872412302e-06
0,sen mnton_berniesanders0,4.1087097532745135e-06,4.353115740495804e-06
0,trade1,7.658833528334465e-06,4.3311984652558226e-06
0,day1,4.2545093527021136e-05,4.35602097500339e-06
0,like1,2.431394192311711e-05,4.370672508659961e-06
0,progressive1,9.377862954851181e-06,4.4596705549173786e-06
0,universities tuition0,4.105602751276139e-06,4.342085518641254e-06
0,democratic party1,6.719017263877012e-06,4.3684361955354e-06
0,bigotry1,5.239499754621367e-06,4.3154954029342516e-06
0,companies1,7.37574509671515e-06,4.32648750163118e-06
0,political process1,4.585153734438287e-06,4.309757102334827e-06
0,tuition free0,4.225243866584546e-06,4.389631592896945e-06
0,inequality1,5.859103060555129e-06,4.333124160692185e-06
0,billionaire class0,4.145458651266369e-06,4.40551261762e-06
0,hshtg_ourfirststand0,4.494400416807657e-06,4.547275651831456e-06
0,bernie sanders1,5.0530028419072606e-06,4.943693967124346e-06
0,security1,1.1753786977735966e-05,4.312690111409113e-06
0,mnton_cnnsotu0,4.337062935227541e-06,4.339246917094757e-06
0,bernie1,5.773093704426562e-06,5.220603872860775e-06
0,poor1,6.402904289738919e-06,4.3130166090515585e-06
0,wall street1,5.931119880214472e-06,4.459642068199214e-06
0,revolution1,4.891360106062667e-06,4.5704815339184475e-06
0,people1,4.085067113024197e-05,5.13885540181127e-06
0,ve1,1.9719686947782382e-05,4.319483948902484e-06
0,climate change1,8.567225584695671e-06,4.444433377482665e-06
0,sen bernie0,4.2073266213958425e-06,4.332596833691851e-06
0,donald1,8.83412337951586e-06,4.514442457860335e-06
0,street1,7.796102980969434e-06,4.395310435959547e-06
0,college1,9.027254417480383e-06,4.311138296142752e-06
0,election1,2.005858581425393e-05,4.316231280511206e-06
0,year1,1.9803328164343508e-05,4.3344165572543456e-06
0,sen1,8.357729218981452e-06,4.3277947159451286e-06
0,hshtg_stoptpp1,4.4739682702133635e-06,4.315211706329093e-06
0,insurance1,8.445380671617041e-06,4.309937538421289e-06
0,hshtg_cnnsotu0,4.185903344416067e-06,4.311832068172041e-06
0,living1,7.487827894964376e-06,4.3333377500782815e-06
0,millions people1,4.608718119567069e-06,4.35283786069249e-06
0,mnton_pramilajayapal1,4.92346425772759e-06,4.335613113673253e-06
0,state1,2.116735129693819e-05,4.371261151389805e-06
0,health1,2.234453824212307e-05,4.725480270609146e-06
0,fossil1,4.8584491084520104e-06,4.42106464388774e-06
0,new1,3.168707694136614e-05,4.347229506684298e-06
0,movement1,7.524360621004401e-06,4.38404549006018e-06
0,hshtg_ourrevolution0,4.220231703477713e-06,4.424159261546989e-06
0,mnton_russfeingold0,4.337434655445155e-06,4.379856055732318e-06
0,million1,1.0975377711731901e-05,4.409376308224199e-06
0,free1,9.379017331909831e-06,4.31607388607825e-06
0,tuition1,4.921252452962715e-06,4.330711356563539e-06
0,job1,1.0820394097726522e-05,4.325031180568505e-06
0,let1,2.639812802039753e-05,4.394949319890263e-06
0,come1,1.7036847310204598e-05,4.321831988465143e-06
0,change1,1.5798288623997657e-05,4.4978318998632224e-06
0,care1,2.0197513672914114e-05,4.694444885817806e-06
0,make public0,4.205351135714028e-06,4.318260511829372e-06
0,climate1,9.67807947517316e-06,4.436865237292915e-06
0,country1,2.0940633210833752e-05,4.668604482664428e-06
0,industry1,6.526759852289637e-06,4.31089576637264e-06
0,care right1,4.633529060687166e-06,4.351432325878766e-06
0,drug1,6.503952162458967e-06,4.357238306921073e-06
0,american1,1.80808663951304e-05,4.453431032066858e-06
0,medicare1,9.48242285897756e-06,4.34734952944737e-06
0,stand1,1.7782475352059723e-05,4.504305456265966e-06
0,social1,9.901663837584575e-06,4.356072737712766e-06
0,mnton_zephyrteachout1,4.410789804161188e-06,4.3625513957004864e-06
