TwitterID,words
louiegohmerttx1,"louisiana,mnton_repclayhiggins,need,people,money,help,economy,support,security,reform,like,time,year,make,today,needs,state,government,washington,american"
davidcicilline,"rally,border,immigration,speech,lost,john,lives,video,share,look,friends,california,day,florida,great,victims,report,dinner,war,citizens"
dougrbennett,"vote,make,learn,state,sign,believe,help,needs,women,things,early voting,future,plan,congress,new,work,join,campaign,congressman,care"
barrassoforwyo,"tune,texas,talking,great,morning,election,tonight,endorsement,today,video,congressman,talk,rep,live,speech,night,join,county gop,speak,icymi"
amyklobuchar,"great,today,trump,thanks,president,house,mnton_realdonaldtrump,rep,new,congrats,people,proud,good,day,work,tonight,thank,happy,republicans,event"
betsyforil,"hshtg_twill,republican,great,district,night,today,good,congress,election,congressional,said,early voting,join,day,conservative,campaign,support,time,gop,candidate"
normajtorres,"wyoming,mnton_potus,regulations,judge,senate,economy,today,tax reform,reform,support,great,tax,time,county,obama,gt,gop,day,state,county gop"
dewitt4congress,"today,good,great,thanks,senate,need,new,congrats,help,day,work,women,story,state,time,hearing,news,passed,act,people"
tomharrison4or3,"today,join,people,time,florida,vote,day,make,healthcare,voters,women,congress,great,know,county,thank,days,proud,fight,voted"
luetkemeyerb,"today,thank,thanks,healthcare,proud,day,tonight,join,women,campaign,town,great,people,congress,time,hall,let,vote,ll,support"
johnjamesmi,"california,state,today,ca,hall,town,gov,address,help,women,school,year,day,join,new,health,great,trump,free,report"
donald_mceachin,"louisiana,thank,support,today,ll,need,campaign,vote,like,people,6th,congress,great,tax,work,time,running,help,proud,make"
reelectcohen,"gt,tax reform,tax,hshtg_obamacare,gt gt,reform,mnton_potus,obama,president,economy,regulations,today,jobs,house,growth,new,act,congress,legislation,businesses"
realjohnmccann,"mnton_thispanicchmbr,thank,chamber,great,business,today,governor,border,honored,thanks,gov,state,year,congratulations,small,join,president,economic,new,congrats"
jerrynadler,"trump,virginia,today,great,vote,va,senate,thanks,day,clinton,thank,support,work,mnton_youtube,happy,tonight,new,election,district,senator"
jd4congress,"steve,congressman,rep,congress,watch,time,talk,today,mnton_youtube,vote,news,discuss,early voting,election,tonight,pm,voting,campaign,tomorrow,early"
donjbacon,"new jersey,mnton_realdonaldtrump,illegal,hshtg_maga,mnton_potus,fight,thank,mnton_potus mnton_realdonaldtrump,american,america,americans,great,today,support,congressman,congress,time,immigration,new,john"
malinowski,"trump,vote,mnton_realdonaldtrump,republicans,house,ny,great,join,today,fight,proud,support,hshtg_gop,thank,congress,won,help,stand,need,stop"
votepaulwalker,"county,today,meet,democrats,pm,thank,women,meeting,help,campaign,great,district,vote,state,day,want,center,10,congress,saturday"
amieformaryland,"trump,new jersey,congress,thank,america,president,house,today,people,gop,new,rights,obama,state,tax,law,tom,republicans,ll,support"
babin4congress,"paul,congress,candidates,people,today,time,thank,primary,support,security,house,need,candidate,great,help,mnton_kycomer,think,voters,congressional,tomorrow"
mlfudge,"hshtg_mdpolitics,time,campaign,great,thanks,county,day,great time,today,congress,6th,support,district,thank,enjoyed,meeting,republican,yesterday,early voting,evening"
donaldpaynejr,"retweet,support,today,vote,early,texas,day,thank,hshtg_obamacare,campaign,dr,voting,early voting,election,election day,proud,obama,endorsed,honored,polls"
brill4congress,"mnton_addthis,ohio,photo facebook,new photo,posted new,posted,facebook,vote,photo,women,photos facebook,district,facebook album,today,join,new,album,hillary,day,thank"
mccaulfortexas,"thank,family,campaign,thanks,great,endorsed,local,issues,forward,week,proud,district,vote,day,today,looking forward,fighting,debate,video,talking"
latta4congress,"dr,paul,thank,people,ad,campaign,vote,let,support,need,rep,congress,congressman,great,time,today,children,make,voters,work"
lloyddoggetttx,"hshtg_txlege,security,mnton_foxnews,border,national,new,texas,watch,sanctuary,today,discuss,gt,act,sign,obama,great,interview,mnton_realdonaldtrump,help,president"
karenhandel,"louisiana,great,today,thanks,day,good,time,happy,campaign,new,morning,support,year,state,family,years,join,win,congress,early"
grothmanforwi,"san,texas,vote,great,trump,early,today,join,day,early voting,support,voting,new,tx,thanks,campaign,democrats,election,tax,make"
abby4iowa,"interview,watch,sure,week,let,join,state,today,twitter,tune,budget,2018,15,supporters,opportunity,bring,11,act,look,forward"
abrindisi,"hshtg_wiright,wisconsin,parade,great,day,today,6th,tax,congress,jobs,ll,gop,conservative,join,mnton_potus,time,reform,pro,county,support"
crawford4cong,"great,house,women,today,state,day,working,families,rep,trump,time,work,gop,like,know,proud,happy,night,thank,ve"
serranocongress,"great,vote,congrats,county,today,join,support,election,dems,congressman,day,new jersey,night,democrats,new,time,thank,long,voters,senate"
danwood2018,"hshtg_argop,today,great,campaign,help,district,thanks,day,pelosi,county,support,new,need,obama,conservative,retweet,healthcare,congress,people,agree"
tracy4congress,"twitter,election,says,great,country,campaign,ny,congressional,proud,new,hillary,friend,thankful,debt,congrats,mnton_realdonaldtrump,members,debate,candidate,tonight"
bob_gibbs,"today,help,trump,thank,tom,people,support,need,join,new jersey,vote,campaign,day,new,thanks,congress,weekend,ve,fight,night"
richhudson,"texas,tx,2018,dan,thanks,help,vote,trump,today,support,campaign,voters,let,district,people,day,need,running,congress,make"
mckinleyforwv,"hshtg_mapoli,work,campaign,congress,time,taxes,need,100,thank,sanctuary,tax,district,congressional district,ice,congressional,country,new,day,unemployment,party"
dprice4congress,"great,ohio,county,lincoln day,day,thanks,today,gop,tonight,great time,hshtg_tcot,time,dinner,support,campaign,lincoln,forward,thank,looking forward,county gop"
lindafornc,"hshtg_ncpol,today,great,obamacare,hshtg_tcot,sign,obama,vote,day,jobs,thank,time,support,read,agree,new,conservative,tonight,happy,need"
replynch,"hshtg_wvpol,virginia,west,great,day,vote,thank,election,today,team,honor,endorsement,calls,republican,right,join,happy,pelosi,read,time"
candiusstearns,"hshtg_ncpol,today,early,vote,great,enjoyed,day,thanks,tonight,join,honored,morning,dems,night,proud,work,make,voters,stand,campaign"
gregstantonaz,"hshtg_ncpol,carolina,campaign,north,thank,today,governor,gov,state,vote,great,women,support,day,forward,county,need,join,facebook,people"
jaredhuffman,"hshtg_mapoli,facebook album,photos facebook,thank,album,today,day,great,thanks,facebook,posted,congressman,good,volunteers,rep,vote,morning,parade,campaign,families"
daveforiowa,"mnton_jjauthor,michigan,clinton,trump,hillary,great,new,9th,day,love,today,make,people,forward,looking,video,time,come,american,looking forward"
duncan4congress,"city,today,great,new,community,thank,congrats,day,tonight,best,live,work,years,economy,year,support,public,proud,school,leaders"
auctnr1,"trump,president,today,gop,people,tax,kavanaugh,like,mnton_realdonaldtrump,house,republicans,congress,new,california,ve,right,says,know,good,white"
dannyoconnor1,"great,thank,today,county,ready,day,time,proud,join,state,support,city,work,vote,morning,stop,working,dems,folks,need"
chrishunterfl,"hshtg_tcot,hshtg_sctweets,great,today,day,congress,campaign,support,thank,carolina,thanks,government,conservative,obama,time,mnton_mittromney,house,looking,spending,tonight"
carter4congress,"hshtg_mapoli,senate,republican,candidate,today,thank,endorsed,senator,thanks,great,live,join,support,day,tonight,campaign,time,tax,people,ice"
voteantonio2018,"trump,state,tax,house,senate,rep,budget,thank,today,people,good,cuts,health,new,time,president,help,gop,great,like"
grace4ny,"thank,today,news,voters,florida,trump,great,day,health,endorsement,friends,debate,endorsed,evening,american,share,thanks,time,voted,health care"
oh5forgalbraith,"hshtg_gagop,hshtg_gapol,georgia,great,hshtg_obamacare,time,today,obamacare,day,care,proud,american,congratulations,thank,read,tune,congress,meeting,health care,honor"
boserforpa,"thank,california,support,mnton_potus,vote,ca,help,fight,campaign,today,country,congress,time,people,like,mnton_realdonaldtrump,let,click,law,win"
joycebeatty,"women,trump,vote,new,make,need,fighting,families,today,country,fight,people,proud,great,americans,let,work,american,health,time"
mcneil4congress,"new,thank,day,county,today,support,public,great,honored,work,thanks,dems,ad,time,working,primary,endorsement,voters,join,hard"
lisabrochester,"clinton,hillary,trump,need,people,like,california,great,time,media,vote,party,city,let,democrats,right,new,ca,don,money"
larsenrick,"ohio,campaign,people,thank,district,running,support,congress,today,vote,like,years,need,work,military,trump,important,gop,great,help"
philbredesen,"women,county,today,voters,town,meeting,congress,week,hall,support,time,great,thanks,people,thank,help,district,need,15,vote"
dustyjohnson,"ohio,today,women,great,vote,thank,day,proud,join,early,hillary,happy,state,america,tonight,time,president,don,voting,birthday"
weberfortexas,"nancy,florida,great,today,women,thanks,join,honored,new,thank,campaign,need,health,health care,day,district,care,vote,support,time"
vote4schiller,"candidate,parade,forum,county,meet,fair,candidates,days,congressional,hall,town,community,new,15,interview,volunteers,november,democrats,party,meeting"
maxinewaters,"hshtg_utpol,great,day,today,thanks,happy,rep,thank,2nd,meeting,forward,tonight,county,george,time,love,nation,freedom,campaign,family"
tjg4ga,"delaware,thanks,today,women,thank,happy,great,day,support,congress,hshtg_demdebate,make,people,morning,time,families,honor,work,stand,campaign"
holden2018,"women,support,california,ca,proud,work,pay,health,today,vote,country,endorsement,stand,trump,families,thank,protect,american,rights,san"
jahimes,"today,governor,washington,people,vote,campaign,want,senator,thanks,volunteers,day,ve,make,work,folks,things,state,thank,open,great"
marlalivengood,"florida,today,work,day,health,proud,world,women,people,make,president,great,community,new,thank,year,trump,children,years,congratulations"
carloscurbelo,"hshtg_tx14,hshtg_txgop,texas,today,great,day,history,president,obama,hshtg_tcot,vote,happy,reagan,need,help,come,conservative,congress,house,make"
ppetsnek,"virginia,great,today,va,vote,day,let,annual,sign,help,congress,join,ready,make,hillary,time,retweet,news,friends,tonight"
mcgovernma,"trump,rep,today,thank,jobs,read,watch,statement,house,act,help,women,need,time,reform,follow,supporters,people,hearing,let"
mikeforwi,"women,health,today,ny,house,mnton_potus,americans,act,families,congress,new,care,work,gop,time,budget,trump,federal,children,need"
rajaforcongress,"hshtg_fl19,florida,today,thank,let,join,day,need,vote,people,congress,time,help,support,new,trump,night,public,great,women"
leibforpa,"today,house,thanks,good,day,yes,great,people,new,thank,time,like,don,think,congress,ll,president,need,know,got"
wmfawell,"great,today,state,day,thank,prayers,week,republican,fair,trump,governor,campaign,candidate,mnton_realdonaldtrump,working,time,let,tonight,join,senate"
clyburnsc06,"time,twitter,love,va,posted,photo,people,like,facebook,life,know,ve,party,gt,dan,think,new,stop,come,yes"
krantz4congress,"twitter,house,got,friends,tonight,campaign,thanks,congress,today,tom,control,folks,citizens,old,doesn,follow,ago,mnton_realdonaldtrump,run,taking"
buckforcolorado,"hshtg_mapoli,facebook album,photos facebook,album,great,thanks,today,join,posted,day,facebook,pm,tonight,00,proud,campaign,party,help,house,vote"
lizforcongress,"read,iran,wisconsin,great,today,obama,day,policy,new,tonight,deal,time,good,state,thanks,thank,morning,honored,win,congress"
duffy4wisconsin,"hshtg_twill,great,today,thank,day,support,night,good,happy,congress,join,families,forward,thoughts,proud,hope,time,voters,vote,morning"
lindatsanchez,"israel,hshtg_israel,thank,mnton_potus,today,great,support,day,mnton_realdonaldtrump,time,city,mnton_potus mnton_realdonaldtrump,state,people,american,year,america,need,like,thanks"
jimrenacci,"mnton_scotttaylorva,hshtg_tcot,hshtg_gop,virginia,great,thank,today,va,mnton_foxnews,hshtg_obama,good,people,mnton_realdonaldtrump,day,thanks,time,tune,house,support,hshtg_demdebate"
nelsonforsenate,"hshtg_mtpol,congress,today,public,work,great,healthcare,congressman,ll,women,time,thanks,new,happy,tonight,health,house,like,policy,need"
vote_davidson,"carolina,thank,today,hshtg_sctweets,great,health,make,vote,continue,tonight,speaking,forward,congressman,hall,sure,democrats,years,care,rep,discuss"
rossspano,"texas,posted new,county,posted,day,tx,new,facebook,today,great,video,thank,time,need,join,let,vote,women,people,tomorrow"
jfitz4congress,"hshtg_tcot,thanks,support,hshtg_obamacare,help,great,twitter,retweet,message,thank,today,county,government,campaign,people,time,senate,day,join,voted"
rubengallego,"great,county,icymi,day,today,team,campaign,clinton,time,hillary,mnton_realdonaldtrump,gop,vote,hshtg_obamacare,america,thank,county gop,tonight,support,rep"
annlwagner,"hshtg_mdpolitics,thank,debate,hshtg_demdebate,need,thanks,great,country,know,love,women,good,said,like,think,god,right,people,congress,candidates"
votebillups,"wisconsin,great,hshtg_tcot,today,gt,day,thanks,gt gt,vote,parade,support,campaign,check,help,hshtg_gop,let,join,happy,facebook,time"
sharicedavids,"today,thank,republicans,morning,help,vote,press,great,glad,thanks,day,florida,texas,18,north,hearing,tune,speech,grateful,dr"
melforcongress,"ohio,today,great,county,mnton_realdonaldtrump,thanks,tax,day,icymi,thank,time,support,tune,talking,talk,proud,make,need,senate,join"
timkaine,"florida,people,ve,help,trump,great,today,health,protect,children,public,day,need,change,support,working,honored,legislation,election,state"
hawleymo,"great,today,like,good,state,people,time,house,new,ve,year,rep,says,know,years,thanks,said,think,work,ll"
ronestesks,"hshtg_sayfie,florida,great,house,today,rep,thank,thanks,small,business,morning,state,join,day,support,time,come,chamber,week,meeting"
sripkulkarni,"mnton_eastbaycitizen,people,california,don,illegal,agree,trump,mnton_realdonaldtrump,right,good,law,said,president,government,liberal,issue,real,say,like,really"
scholten4iowa,"texas,people,thanks,support,vote,congress,need,today,women,trump,let,thank,2018,hshtg_tx14,time,tx,help,great,america,houston"
teamcalvert,"wisconsin,trump,today,thanks,people,gop,mnton_realdonaldtrump,vote,state,congress,president,new,tax,paul,support,let,jobs,like,join,help"
elizabethheng,"yoder,thank,support,campaign,today,join,proud,women,congress,day,thanks,change,people,vote,office,great,make,endorsement,ll,working"
morganmurtaugh,"today,congress,day,great,folks,thanks,ll,county,morning,health,health care,washington,local,care,tonight,good,make,republicans,work,night"
jaywebbernj,"va,virginia,today,great,discuss,senate,ll,health,trump,proud,work,care,tune,president,congress,help,need,health care,join,vote"
avaforcongress,"hshtg_mosen,great,today,liberty,tonight,talk,fight,thanks,talking,obama,day,big,court,mnton_realdonaldtrump,obamacare,time,lincoln,new,state,kavanaugh"
alcee4congress,"support,thanks,conservative,voters,day,thank,change,vote,today,want,election,district,great,forward,campaign,4th,forum,dc,ve,congress"
desjarlaistn04,"houston,thank,texas,today,tx,people,vote,great,support,campaign,district,day,trump,time,join,voting,like,election,congress,don"
drreygonzalez,"healthcare,vote,today,candidate,county,support,congress,people,thank,like,tell,early,mnton_realdonaldtrump,need,early voting,want,day,voting,campaign,time"
sessionsfortx32,"people,working,change,congress,great,county,need,washington,hard,vote,running,today,time,thanks,want,work,help,let,support,day"
electdavidscott,"thank,campaign,support,time,california,story,new,future,let,great,family,better,make,need,facebook,join,ll,congress,years,working"
mattcoreyct,"texas,town,hall,border,houston,thanks,people,san,grateful,great,country,state,today,day,morning,veterans,tonight,time,tx,campaign"
ohforcongress,"support,follow,thanks,time,great,honor,meeting,america,enjoyed,good,mnton_scotttaylorva,day,today,yesterday,americans,national,right,night,virginia,let"
darrensoto,"today,join,facebook album,photos facebook,vote,album,time,women,florida,election,posted,gov,proud,let,national,day,endorsement,campaign,health,congress"
chiproytx,"hshtg_obamacare,hshtg_tcot,obama,house,today,hearing,thank,president,live,gt,listen,americans,tax,ll,watch,thanks,jobs,new,irs,news"
betsyraderoh,"trump,hshtg_demdebate,gop,women,president,today,democrats,americans,florida,health,great,day,proud,make,president obama,obama,vote,care,republicans,tonight"
brucepoliquin,"mnton_potus,illegal,sanctuary,tx,tax,border,gt,texas,growth,tax reform,nation,act,gt gt,today,ice,reform,obama,immigration,families,proud"
drpeters4iowa,"hshtg_gapol,georgia,hshtg_gagop,vote,obama,poll,voting,early,democrats,gop,today,new,senate,race,county,clinton,president,hillary,early voting,house"
lutchigayot,"california,san,high,tax,press,great,thank,tune,tonight,join,speaking,office,icymi,repeal,pm,campaign,today,talking,watch,ca"
bb4congress2018,"great,time,senate,vote,today,hshtg_tcot,day,need,state,candidate,pm,district,campaign,thanks,tune,great time,thank,ll,republican,support"
standwithraul,"today,great,florida,thanks,time,day,people,stand,friends,weekend,let,community,join,campaign,women,county,night,honored,happy,meet"
eshoo4congress,"hshtg_sctweets,carolina,thank,today,day,happy,thanks,time,great,people,love,let,birthday,best,check,ready,need,tonight,vote,primary"
mattformontana,"9th,thank,san,california,great,working,day,thankful,county,district,vote,congressional,support,congressional district,congress,new,time,ca,today,enjoyed"
karaforcongress,"ohio,congress,great,today,voters,proud,thank,campaign,people,join,healthcare,trump,support,night,health,rep,folks,tax,congressman,glad"
gwen4congress,"gop,new,post,county gop,great,town,tonight,county,campaign,meeting,hall,day,today,interview,state,hope,meet,fair,parade,lincoln"
dunncampaign,"dr,today,candidate,forum,great,need,debate,state,care,join,2nd,congress,federal,thanks,think,want,support,liberty,thank,ll"
jn4ush,"county republican,meeting,republican,county,president trump,president,real,speak,trump,americans,party,california,new,reagan,great,kavanaugh,va,thankful,immigration,issue"
dwb4congress,"trump,people,health,care,health care,time,president,americans,country,border,republicans,tax,make,plan,gop,public,administration,american,right,stand"
danielfeehan,"today,ca,san,rep,congress,join,women,help,health,house,art,new,icymi,policy,great,vote,week,support,national,press"
georgeholding,"hshtg_tcot,hshtg_gop,today,vote,thank,great,ll,new,endorsement,washington,thanks,time,county,fight,election,campaign,honored,gop,night,tonight"
marcforpa,"today,vote,need,congress,time,support,health,women,people,thank,americans,let,like,mnton_sengillibrand,care,families,proud,healthcare,make,day"
delgadoforny19,"wisconsin,today,women,vote,proud,day,president,obama,people,great,mnton_realdonaldtrump,trump,president obama,right,make,know,time,stand,join,hillary"
davidschweikert,"hshtg_sayfie,thank,great,county,today,florida,enjoyed,county republican,support,president,time,happy,day,city,tonight,mnton_realdonaldtrump,republican,thanks,conservative,morning"
anitamalik,"county,vote,campaign,people,help,time,great,district,ve,today,congressional district,congressional,ll,evening,town,voters,want,like,need,right"
rosa_delauro,"campaign,people,help,big,day,running,need,district,congress,2018,gop,class,today,house,know,right,year,healthcare,support,time"
forwyoming,"today,thank,great,service,honored,people,day,time,congress,support,war,veterans,thanks,years,leadership,dan,like,country,proud,know"
kopser4congress,"hshtg_ncpol,tax,new,hshtg_obama,tax reform,hshtg_consnc,obama,george,cut,reform,report,time,thank,government,spending,politics,hshtg_obamacare,ad,today,north"
janet4oh,"ll,campaign,thanks,county,thank,help,want,state,time,great,congress,like,new,today,president,people,district,good,know,ve"
standwithbarry,"hshtg_ny19,great,people,working,support,today,hard,vote,thank,thanks,volunteers,town,county,time,campaign,folks,need,work,ny,health"
andiesaizan,"look,website,hshtg_tcot,thanks,campaign,debt,control,spending,help,pelosi,nancy,join,congress,time,change,country,stop,fight,obama,great"
votejosh2018,"today,thank,new,love,great,time,change,yes,women,thanks,need,day,work,support,live,free,let,know,make,help"
brown_congress,"women,president,today,families,trump,day,president trump,new,thank,country,work,join,working,family,congress,great,make,happy,health,america"
maelvirasalazar,"wyoming,story,better,man,children,world,running,going,congress,time,west,administration,article,post,red,forum,policy,discuss,dc,old"
joangreeneaz,"texas,today,great,vote,thanks,san,thank,candidates,day,tx,new,support,campaign,join,voters,meet,county,candidate,tonight,like"
votegregwalden,"ohio,support,trump,freedom,thank,people,today,time,vote,congress,tax,need,great,help,district,republicans,women,house,week,work"
mccallforall,"hshtg_gapol,hshtg_gagop,team,georgia,today,great,thank,president,conservative,vote,thanks,obamacare,share,obama,join,agree,proud,support,congress,day"
kathleenrice,"thank,mnton_realdonaldtrump,today,people,let,campaign,san,congress,time,running,happy,love,make,vote,voters,american,support,like,ll,california"
davidjtrone,"vote,4th,carolina,candidate,congressional district,congressional,district,today,thank,time,people,meeting,prayers,let,family,democrats,forum,great,need,hope"
zoelofgren,"hshtg_nv04,today,great,thank,thanks,vote,day,support,work,proud,happy,congrats,congress,need,make,time,new,trump,voting,family"
verone4congress,"thank,support,want,mnton_potus,mnton_foxnews,great,day,today,honor,let,florida,community,pm,country,need,mnton_nrcc,time,happy,like,sanctuary"
jackiespeier,"thank,know,people,gop,let,folks,like,don,time,vote,say,said,want,mnton_debbielesko,make,families,need,love,sure,going"
denver4va,"obamacare,click,sign,today,jobs,administration,agree,news,irs,read,join,president,work,ll,need,obama,talk,time,icymi,morning"
reelectnydia,"hshtg_gapol,trump,georgia,people,like,children,today,need,right,vote,know,make,president,work,money,mnton_realdonaldtrump,let,ve,state,man"
michaelgwaltz,"today,vote,great,ny,day,women,long,proud,support,tomorrow,speaking,morning,need,mnton_sengillibrand,thank,working,congress,new,check,voters"
williamkeating,"great,thanks,need,trump,people,thank,day,congress,today,time,mnton_realdonaldtrump,israel,work,county,women,make,good,right,proud,meeting"
tjcoxcongress,"great,ca,running,san,trump,house,year,people,day,watch,friends,american,make,campaign,time,gov,today,2018,annual,doesn"
hidalgofor51st,"debate,honored,louisiana,years,people,trump,don,time,change,like,need,future,care,new,stop,health,good,mnton_repclayhiggins,know,agree"
jenniferwexton,"hshtg_utpol,hshtg_tcot,thank,love,great,today,support,check,thanks,time,day,tonight,west,mnton_mittromney,meeting,4th,help,enjoyed,campaign,people"
jefffortenberry,"women,trump,today,thank,kavanaugh,mnton_realdonaldtrump,san,day,vote,friends,right,california,president,campaign,need,don,let,america,happy,americans"
jamiefororegon,"support,gov,rep,mnton_coreystewartva,candidate,governor,virginia,thank,icymi,va,week,great,race,campaign,today,statement,republican,gop,press,trump"
charlieschaupp,"mnton_realdonaldtrump,trump,administration,families,new,need,children,people,women,proud,fight,country,working,kavanaugh,today,americans,like,stand,make,vote"
beeler4congress,"mnton_foxnews,mnton_potus,iran,military,join,war,north,today,trump,great,florida,new,good,tonight,america,says,thank,need,american,president"
mickrich4senate,"hshtg_mapoli,great,facebook album,photos facebook,album,today,campaign,town,endorsed,proud,meeting,day,support,thank,tonight,pm,posted,rep,time,election"
vantaylortx,"thank,trump,today,great,support,campaign,tax,people,thanks,families,working,need,health,proud,work,healthcare,congress,vote,republicans,help"
pramilajayapal,"team,come,district,city,candidate,congressional district,support,congressional,icymi,meeting,speaking,people,event,meet,national,say,great,today,morning,san"
acampanajjar,"virginia,today,great,day,va,senate,morning,thank,women,proud,vote,time,thanks,night,support,bills,work,tonight,state,voted"
mccormickforco,"thank,support,district,need,today,vote,great,thanks,work,time,congress,people,county,help,healthcare,families,let,join,needs,public"
jennielouleeder,"thank,mnton_realdonaldtrump,mnton_potus,great,support,today,community,trump,work,people,make,thanks,proud,california,working,right,day,help,americans,things"
tomforwi,"tax,night,parade,money,great,today,looking,year,tax cuts,congress,time,game,cuts,middle,class,looking forward,run,speaking,senate,washington"
tanoos2018,"wisconsin,health,families,time,tax,make,today,people,folks,americans,let,day,american,good,congress,healthcare,america,house,right,care"
drvenoch,"new,great,county,tax,county gop,republican,people,campaign,day,parade,enjoyed,hard,state,fair,gop,america,senate,jobs,000,party"
callahan4oregon,"hshtg_txlege,texas,great,tx,proud,conservative,obamacare,today,county,day,tax,senate,conservatives,event,people,meeting,thank,state,reform,obama"
robbinsforok,"trump,thank,women,today,people,proud,congress,time,support,join,need,country,fight,day,let,rep,great,washington,state,fighting"
drpaulgosar,"mnton_realdonaldtrump,hshtg_maga,michigan,people,trump,democrats,time,ll,make,let,work,justice,great,president,vote,thanks,man,house,conservative,like"
higgins4wny,"today,thank,county,proud,great,00,night,vote,help,happy,saturday,parade,sign,team,congress,work,district,fight,meet,new"
palmer4alabama,"hshtg_tcot,come,join,senate,day,new,sign,time,vote,great,let,jobs,video,community,meet,friends,help,change,plan,share"
schneider4il10,"wisconsin,today,great,night,tom,tonight,time,trump,thanks,join,day,office,country,thank,campaign,help,make,need,tax,support"
wadkins2018,"county,great,thank,wonderful,time,people,great time,dinner,meet,district,support,candidates,friends,family,proud,parade,community,good,annual,met"
talleysergent,"judge,ohio,justice,court,people,thank,county,women,thanks,know,mnton_youtube,today,time,live,like,watch,white,police,children,support"
lenaepstein,"18,district,rally,retweet,campaign,candidate,mnton_nrcc,congressional,congressional district,congress,mnton_realdonaldtrump,forum,sanctuary,great,interview,hshtg_maga,video,help,illegal,hshtg_gop"
tmac4congress,"vote,congressional district,website,election day,great time,learn,democrats,issues,event,congressional,check,meeting,county,night,election,district,new,support,time,day"
stenyhoyer,"mnton_realdonaldtrump,act,today,members,great,obama,reform,tax,read,federal,congress,gt,house,time,public,000,energy,mnton_potus,border,mnton_foxnews"
marktakano,"great,today,tonight,support,proud,day,vote,county,annual,join,election,event,friends,polls,family,thank,new,friend,thanks,endorsement"
kyrstensinema,"tune,today,vote,thanks,great,tomorrow,tonight,campaign,enjoyed,support,election,day,thank,congress,listen,morning,time,interview,debate,live"
artforcongress,"today,great,thanks,vote,time,day,house,support,parade,proud,join,thank,campaign,happy,tonight,sign,congress,women,new,make"
mariah4congress,"congress,running,congressional district,congressional,vote,need,help,meet,district,share,campaign,follow,want,let,support,thank,jobs,work,come,30"
judgejohncarter,"hshtg_wvpol,today,great,day,people,women,west,good,health,state,let,care,proud,health care,time,read,work,congrats,new,mnton_realdonaldtrump"
uptonforallofus,"michigan,mnton_realdonaldtrump,great,trump,thank,day,mnton_potus,hshtg_maga,today,support,time,campaign,president,new,america,women,tune,mnton_foxnews,tonight,proud"
congpeteking,"great,today,thanks,tom,tonight,steve,click,campaign,new,ad,county,debate,endorsement,support,day,honored,stop,vote,gop,meet"
willhurd,"join,today,proud,annual,county,calvert,george,great,work,vote,day,voting,women,early voting,support,honored,trump,tonight,early,district"
ddadamscongress,"hshtg_demdebate,hillary,thank,today,tonight,clinton,president,great,debate,vote,congress,support,right,immigration,trump,join,mnton_realdonaldtrump,time,rights,help"
janeraybould,"today,thank,happy,help,thanks,join,women,day,work,veterans,working,great,30,birthday,support,care,happy birthday,families,sign,congress"
rogerwilliamstx,"art,pm,00,hshtg_tcot,come,hshtg_gop,30,rally,uploaded mnton_youtube,mnton_youtube video,meeting,uploaded,mnton_youtube,like,12,speak,facebook,click,tomorrow,liberty"
ocasio2018,"virginia,thank,great,trump,today,vote,day,va,women,join,house,proud,time,president,work,make,tonight,support,hillary,morning"
robbishoput,"great,thanks,follow,hshtg_txlege,thank,today,tx,congrats,texas,support,event,hshtg_tcot,mnton_potus,proud,families,team,job,family,day,week"
lucywins2018,"texas,west,great,thank,today,thanks,time,family,district,support,people,big,america,congressman,enjoyed,happy,morning,nation,tx,join"
archie4congress,"michigan,work,learn,jobs,economy,follow,gt,folks,great,sign,local,help,working,today,thanks,want,sure,day,campaign,families"
geauxscalise,"new,great,gop,hshtg_gop,issues,run,day,morning,local,community,night,saturday,happy,new jersey,paul,breakfast,weekend,national,county,security"
mikelevinca,"hshtg_tx23,today,texas,tx,day,click,great,san,vote,help,join,early voting,proud,support,thank,watch,happy,early,thanks,team"
jacobturk,"foxx,virginia,thank,carolina,support,north,need,people,vote,today,district,trump,congress,help,time,day,know,women,candidate,let"
ron_dinicola,"senator,today,lincoln,thanks,senate,washington,day,vote,great,party,state,campaign,join,time,tonight,health,health care,care,need,thank"
jimburgess7,"mnton_realdonaldtrump,trump,retweet,mnton_potus,need,mnton_foxnews,congress,thing,hshtg_maga,know,president,like,mnton_potus mnton_realdonaldtrump,send,twitter,check,going,great,work,make"
peteolson,"hshtg_tx25,hshtg_txgop,hshtg_tcot,obama,great,texas,today,thank,video,tonight,day,thanks,republican,tx,time,hshtg_obamacare,support,county,president,speaking"
davis4maryland,"thank,ny,people,new,like,today,campaign,time,vote,primary,help,know,need,candidate,want,make,ice,money,right,day"
blumforcongress,"hshtg_utpol,congressman,county,today,rep,thanks,great,state,support,local,national,day,public,vote,news,talking,congressional,happy,congratulations,thank"
bevgoldstein,"georgia,hshtg_gapol,today,thank,women,day,help,join,need,time,vote,support,running,make,people,know,district,morning,congress,important"
xochforcongress,"help,thank,thanks,carolina,support,join,let,win,today,vote,great,people,need,good,special,tax,work,election,campaign,team"
tedlieu,"louisiana,today,great,gt,steve,day,happy,hshtg_tcot,house,president,obama,proud,birthday,mnton_potus,thank,people,join,family,families,time"
hallcongress,"trump,thank,san,california,thanks,today,congress,house,mnton_realdonaldtrump,campaign,great,need,join,let,gop,honored,vote,ca,time,district"
