TwitterID,words
lee4uscongress,"thank,carolina,today,posted,mnton_realdonaldtrump,house,photo,support,love,state,day,great,tax,time,mnton_potus,family,help,morning,senate,life"
karringtonsc,"ohio,day,today,county,people,great,women,proud,time,candidates,ready,district,families,endorsed,congress,new,thank,help,dr,office"
repblumenauer,"today,people,let,need,time,make,know,women,thank,care,good,support,children,don,right,day,great,like,vote,want"
stevekingia,"hshtg_tcot,obama,today,house,law,obamacare,trump,day,god,america,illegal,immigration,right,life,border,conservative,people,president,congress,american"
becongress,"mnton_realdonaldtrump,mnton_foxnews,congress,run,2018,republican,people,hshtg_mapoli,running,candidate,love,know,support,make,like,trump,today,yes,mnton_youtube,thank"
darylkipnisesq,"vote,hshtg_twill,today,reform,thanks,support,change,congress,fight,times,time,county,election,check,best,polls,health,like,tomorrow,ll"
elisestefanik,"photo facebook,new photo,posted new,posted,photo,facebook,new,john,god,good,nice,today,10,service,12,hard,11,great,thankful,15"
spanbergerva07,"hshtg_ny21,mnton_elisestefanik,thanks,great,today,ny,county,new,support,day,proud,gop,thank,congress,north,morning,read,visit,good,women"
donnorcross4nj,"join,campaign,today,vote,thank,great,virginia,tonight,support,help,voters,friends,meet,day,excited,make,primary,va,women,people"
erik_paulsen,"new jersey,great,thank,support,today,new,proud,thanks,day,families,night,working,fight,community,women,time,join,make,trump,stand"
markharrisnc9,"day,today,tax,great,national,happy,irs,repeal,parade,washington,time,legislation,need,debt,house,jobs,hshtg_obamacare,help,make,law"
lizzie4congress,"hshtg_consnc,hshtg_ncpol,hshtg_tcot,thank,great,senate,county,today,support,tonight,thanks,carolina,join,race,day,9th,campaign,gop,conservative,time"
edcasehawaii,"houston,thank,today,proud,texas,support,thanks,women,day,congress,join,time,great,endorsement,working,gt,vote,john,gt gt,ready"
petestauber,"story,talk,great,day,debate,campaign,today,good,poll,senate,need,election,weekend,news,like,check,happy,big,don,way"
robinlynnekelly,"thank,great,parade,today,day,meet,support,sure,make,county,happy,news,time,family,ready,days,mnton_realdonaldtrump,night,stop,campaign"
tedforcongress,"mnton_drmarkgreen4tn,great,state,obama,county,thanks,senate,tax,time,today,senator,great time,honored,hall,veterans,day,pm,conservative,people,thank"
audrey4congress,"hshtg_sayfie,florida,vote,today,support,thanks,trump,day,hillary,election,join,county,early,new,proud,congrats,watch,great,clinton,election day"
katieporteroc,"california,thank,county,support,campaign,district,today,congressional,thanks,ca,great,day,grateful,forum,meeting,candidates,meet,congress,office,rep"
beraforcongress,"trump,mnton_realdonaldtrump,campaign,thank,california,vote,today,families,proud,people,women,support,congress,big,voted,time,fight,help,ca,like"
buddforcongress,"ny,israel,today,thank,great,iran,district,10,new,running,republican,tonight,candidate,campaign,city,congressional,time,congress,speaking,day"
mjhegar,"tax,great,tax reform,today,pelosi,day,campaign,nancy,carolina,reform,happy,county,hshtg_ncpol,sign,thank,thanks,support,proud,north,new"
katherineclark,"thank,texas,women,people,today,like,tx,vote,thanks,great,support,yes,ll,need,excited,new,congress,candidate,district,let"
peterroskam,"mnton_peterroskam,irs,iran,hshtg_obamacare,house,hshtg_tcot,tax,today,obama,hshtg_gop,new,act,deal,watch,obamacare,great,israel,americans,hshtg_israel,jobs"
sethmoulton,"hshtg_mapoli,thanks,great,congress,today,proud,thank,need,trump,new,day,veterans,time,support,mnton_realdonaldtrump,service,work,like,leadership,join"
williamsformt,"hshtg_mtpol,hshtg_maga,trump,support,great,mnton_realdonaldtrump,thank,time,president,day,today,kavanaugh,president trump,thanks,tax,ll,senate,need,state,senator"
votejimjordan,"day,twitter,election day,enjoyed,spending,start,end,leaders,getting,community,election,make,district,campaign,new,today,gt,forget,steve,ice"
josephbrumbles,"mnton_realdonaldtrump,liberty,good,10,stand,freedom,district,state,say,need,remember,candidate,yes,rights,thank,washington,trump,year,let,people"
marty_nothstein,"great,tonight,town,night,today,day,county,congrats,race,time,good,thanks,new,come,happy,morning,tomorrow,team,friday,thank"
leapeterson,"michigan,great,today,join,women,day,rep,thank,thanks,support,happy,work,state,tonight,proud,morning,hope,community,time,working"
gdriskell,"wyoming,live,facebook,thanks,time,county,tonight,ready,dc,people,today,money,stop,got,week,elected,hope,campaign,event,meet"
dtorres4cong,"mnton_congboyle,today,tax,act,congress,mnton_pearlkimpa,like,united,day,voted,unemployment,states,united states,great,jobs,new,mnton_realdonaldtrump,2nd,talking,remember"
ron4california,"mnton_thomaswictor,like,people,mnton_realcandaceo,twitter,democrats,trump,left,think,know,right,ll,media,ve,mnton_realdonaldtrump,say,thing,white,need,want"
bleeforcongress,"trump,women,war,congress,people,today,time,health,care,california,let,administration,rights,need,make,vote,fight,americans,right,families"
votethornton,"today,time,day,support,county,let,thank,great,met,need,debt,election,make,rights,change,november,join,kavanaugh,people,days"
jenniferforva,"virginia,people,today,va,thank,district,time,6th,campaign,ll,need,women,vote,mnton_coreystewartva,day,great,year,like,health,ve"
electlong,"town,hall,long,thank,vote,people,washington,today,join,endorsement,campaign,time,women,support,day,make,volunteers,county,work,pm"
kevinomccarthy,"hshtg_tcot,today,day,happy,check,congrats,ca,let,birthday,california,great,forward,post,looking forward,looking,interview,tonight,happy birthday,thanks,country"
carbajalsalud,"hshtg_ca24,great,thank,support,today,congress,campaign,honored,women,forward,ca,endorsement,proud,vote,looking forward,looking,debate,election,tonight,california"
rickallen,"military,debate,state,icymi,today,washington,senate,senator,day,women,thank,support,great,security,voters,election,tax cuts,cuts,tax,county"
stevedavid,"houston,city,trump,today,people,great,like,tax,texas,time,good,new,don,make,day,tonight,vote,years,ve,need"
voterobdavidson,"great,day,thank,today,time,county,campaign,morning,night,annual,tax,sanctuary,evening,tax cuts,cuts,meet,team,stop,john,jobs"
drlarrybucshon,"hshtg_obamacare,hshtg_tcot,mnton_nrcc,obama,today,county,great,obamacare,lincoln day,day,time,president,vote,lincoln,new,house,campaign,thanks,gop,president obama"
salforcongress,"great,talk,ve,friends,know,campaign,congress,small,veterans,business,issues,want,like,state,people,new,kavanaugh,va,president trump,breakfast"
tomcarperforde,"delaware,today,happy,happy birthday,birthday,great,tom,day,senator,state,thanks,tonight,need,trump,support,thank,president,work,proud,team"
ericswalwell,"mnton_realdonaldtrump,rep,congress,today,new,time,thanks,let,trump,ll,great,thank,support,vote,help,ca,house,election,day,san"
voteyvette,"vote,today,women,join,obama,ny,president,thank,new,day,great,need,president obama,people,happy,know,hall,time,rights,want"
electrodney,"great,today,day,morning,parade,county,volunteers,time,tonight,thanks,proud,support,early,great time,vote,thank,lincoln day,happy,center,folks"
val_demings,"florida,thank,today,congress,hshtg_sayfie,vote,day,great,women,grateful,working,make,honor,work,forward,support,endorsement,days,morning,proud"
jontester,"mnton_realdonaldtrump,trump,don,people,president,like,military,need,congress,house,vote,clinton,today,time,white,gop,war,let,american,republicans"
davidrouzer,"hshtg_mtpol,veterans,help,today,great,women,senate,public,health,days,work,new,care,day,need,thanks,big,support,make,know"
