Classifier,Iteration,Mean,Std
nb,9,-10.023746113123975,2.1617727403501035
nb,8,-10.189110307193433,2.2496989575056583
nb,3,-10.245903489598577,2.2101697924431414
nb,2,-10.019909974460452,2.1574722498039414
nb,1,1.0929434769995214,0.7995121185969373
nb,0,-10.32177366435323,2.2357511334178675
nb,7,1.1864713033941505,0.7883615196676393
nb,6,0.0971385455220223,0.6166412638763238
nb,5,-9.73607729979978,2.0742072934019675
nb,4,-10.385933259478573,2.334817356524881
nb,19,-9.999112330589053,2.098136468024612
nb,18,0.5076279684775755,0.6438742657145321
nb,17,1.9275833618950828,1.0026787767094827
nb,16,0.4884477474778188,0.6879442250699015
nb,15,-10.023579581351918,2.139936076774612
nb,14,0.6182464914815052,0.6848034516420204
nb,13,-9.546954575734427,2.004899281133052
nb,12,-10.153914437045083,2.198708477774027
nb,11,-9.834381684714032,2.087780431925506
nb,10,0.8784439591958065,0.7578761575099451
nb,22,1.0515989000318686,0.7658745207802176
nb,23,1.3263107045292761,0.8609855090016703
nb,20,1.6124540184932392,0.893542999114389
nb,21,-9.9358631984413,2.097323891594434
nb,26,0.94421270705781,0.7452056420990508
nb,27,-10.41399490431368,2.318587973352758
nb,24,2.2815105755140883,1.0541922754178248
nb,25,-9.941827643075879,2.0832617255312558
nb,28,1.0282250624896987,0.7328325098895959
nb,29,-9.994422443043204,2.1292694754367214
